2024-05-28 19:54:25,471 - INFO - Loss: 1423, Last Reward: -1, Total Steps: 200
2024-05-28 20:32:25,471 - INFO - Loss: 621.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:33:05,471 - INFO - Loss: 535.8, Last Reward: -1, Total Steps: 200
2024-05-28 20:33:45,471 - INFO - Loss: 420.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:34:25,471 - INFO - Loss: 874.3, Last Reward: -1, Total Steps: 200
2024-05-28 20:35:05,471 - INFO - Loss: 896.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:35:45,471 - INFO - Loss: 770.6, Last Reward: -1, Total Steps: 200
2024-05-28 20:36:25,471 - INFO - Loss: 775.6, Last Reward: 1, Total Steps: 200
2024-05-28 20:37:05,471 - INFO - Loss: 613.8, Last Reward: -1, Total Steps: 200
2024-05-28 20:37:45,471 - INFO - Loss: 475.6, Last Reward: 1, Total Steps: 200
2024-05-28 20:38:25,471 - INFO - Loss: 411.9, Last Reward: -1, Total Steps: 200
2024-05-28 20:39:05,471 - INFO - Loss: 515.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:39:45,471 - INFO - Loss: 668.1, Last Reward: -1, Total Steps: 200
2024-05-28 20:40:25,471 - INFO - Loss: 451.1, Last Reward: 1, Total Steps: 200
2024-05-28 20:41:05,471 - INFO - Loss: 481.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:41:45,471 - INFO - Loss: 464.4, Last Reward: 1, Total Steps: 200
2024-05-28 20:42:25,471 - INFO - Loss: 392.1, Last Reward: -1, Total Steps: 200
2024-05-28 20:43:05,471 - INFO - Loss: 393.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:43:45,471 - INFO - Loss: 320.2, Last Reward: -1, Total Steps: 200
2024-05-28 20:44:25,471 - INFO - Loss: 543.4, Last Reward: 1, Total Steps: 200
2024-05-28 20:45:05,471 - INFO - Loss: 504.7, Last Reward: -1, Total Steps: 200
2024-05-28 20:45:45,471 - INFO - Loss: 500.6, Last Reward: 1, Total Steps: 200
2024-05-28 20:46:25,471 - INFO - Loss: 614.7, Last Reward: -1, Total Steps: 200
2024-05-28 20:47:05,471 - INFO - Loss: 410.4, Last Reward: 1, Total Steps: 200
2024-05-28 20:47:45,471 - INFO - Loss: 303.8, Last Reward: -1, Total Steps: 200
2024-05-28 20:48:25,471 - INFO - Loss: 414.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:49:05,471 - INFO - Loss: 497.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:49:45,471 - INFO - Loss: 427.9, Last Reward: 1, Total Steps: 200
2024-05-28 20:50:25,471 - INFO - Loss: 452.3, Last Reward: -1, Total Steps: 200
2024-05-28 20:51:05,471 - INFO - Loss: 790.3, Last Reward: 1, Total Steps: 200
2024-05-28 20:51:45,471 - INFO - Loss: 613.9, Last Reward: -1, Total Steps: 200
2024-05-28 20:52:25,471 - INFO - Loss: 670.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:53:05,471 - INFO - Loss: 655.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:53:45,471 - INFO - Loss: 680.3, Last Reward: 1, Total Steps: 200
2024-05-28 20:54:25,471 - INFO - Loss: 656.1, Last Reward: -1, Total Steps: 200
2024-05-28 20:55:05,471 - INFO - Loss: 551.6, Last Reward: 1, Total Steps: 200
2024-05-28 20:55:45,471 - INFO - Loss: 406.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:56:25,471 - INFO - Loss: 439.0, Last Reward: 1, Total Steps: 200
2024-05-28 20:57:05,471 - INFO - Loss: 454.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:57:45,471 - INFO - Loss: 472.9, Last Reward: 1, Total Steps: 200
2024-05-28 20:58:25,471 - INFO - Loss: 441.7, Last Reward: -1, Total Steps: 200
2024-05-28 20:59:05,471 - INFO - Loss: 427.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:59:45,471 - INFO - Loss: 415.5, Last Reward: -1, Total Steps: 200
2024-05-28 21:00:25,471 - INFO - Loss: 215.3, Last Reward: 1, Total Steps: 200
2024-05-28 21:01:05,471 - INFO - Loss: 426.3, Last Reward: -1, Total Steps: 200
2024-05-28 21:01:45,471 - INFO - Loss: 492.8, Last Reward: 1, Total Steps: 200
2024-05-28 21:02:25,471 - INFO - Loss: 312.6, Last Reward: -1, Total Steps: 200
2024-05-28 21:03:05,471 - INFO - Loss: 328.7, Last Reward: 1, Total Steps: 200
2024-05-28 21:03:45,471 - INFO - Loss: 366.5, Last Reward: -1, Total Steps: 200
2024-05-28 21:04:25,471 - INFO - Loss: 374.0, Last Reward: 1, Total Steps: 200
2024-05-28 21:05:05,471 - INFO - Loss: 355.0, Last Reward: -1, Total Steps: 200
2024-05-28 21:05:45,471 - INFO - Loss: 366.4, Last Reward: 1, Total Steps: 200
2024-05-28 21:06:25,471 - INFO - Loss: 358.1, Last Reward: -1, Total Steps: 200
2024-05-28 21:07:05,471 - INFO - Loss: 446.0, Last Reward: 1, Total Steps: 200
2024-05-28 21:07:45,471 - INFO - Loss: 449.5, Last Reward: -1, Total Steps: 200
2024-05-28 21:08:25,471 - INFO - Loss: 439.8, Last Reward: 1, Total Steps: 200
2024-05-28 21:09:05,471 - INFO - Loss: 341.0, Last Reward: -1, Total Steps: 200
2024-05-28 21:09:45,471 - INFO - Loss: 338.2, Last Reward: 1, Total Steps: 200
2024-05-28 21:10:25,471 - INFO - Loss: 322.3, Last Reward: -1, Total Steps: 200
2024-05-28 21:11:05,471 - INFO - Loss: 231.4, Last Reward: 1, Total Steps: 200
2024-05-28 21:11:45,471 - INFO - Loss: 217.2, Last Reward: -1, Total Steps: 200
2024-05-28 21:12:25,471 - INFO - Loss: 218.8, Last Reward: 1, Total Steps: 200
2024-05-28 21:13:05,471 - INFO - Loss: 273.8, Last Reward: -1, Total Steps: 200
2024-05-28 21:13:45,471 - INFO - Loss: 220.1, Last Reward: 1, Total Steps: 200
2024-05-28 21:14:25,471 - INFO - Loss: 199.7, Last Reward: -1, Total Steps: 200
2024-05-28 21:15:05,471 - INFO - Loss: 247.5, Last Reward: 1, Total Steps: 200
2024-05-28 21:15:45,471 - INFO - Loss: 290.3, Last Reward: -1, Total Steps: 200
2024-05-28 21:16:25,471 - INFO - Loss: 224.3, Last Reward: 1, Total Steps: 200
2024-05-28 21:17:05,471 - INFO - Loss: 490.2, Last Reward: -1, Total Steps: 200
2024-05-28 21:17:45,471 - INFO - Loss: 562.6, Last Reward: 1, Total Steps: 200
2024-05-28 21:18:25,471 - INFO - Loss: 459.6, Last Reward: -1, Total Steps: 200
2024-05-28 21:19:05,471 - INFO - Loss: 406.2, Last Reward: 1, Total Steps: 200
2024-05-28 21:19:45,471 - INFO - Loss: 232.8, Last Reward: -1, Total Steps: 200
2024-05-28 21:20:25,471 - INFO - Loss: 228.2, Last Reward: 1, Total Steps: 200
2024-05-28 21:21:05,471 - INFO - Loss: 251.8, Last Reward: -1, Total Steps: 200
2024-05-28 21:21:45,471 - INFO - Loss: 324.7, Last Reward: 1, Total Steps: 200
2024-05-28 21:22:25,471 - INFO - Loss: 321.5, Last Reward: -1, Total Steps: 200
2024-05-28 21:23:05,471 - INFO - Loss: 471.5, Last Reward: 1, Total Steps: 200
2024-05-28 21:23:45,471 - INFO - Loss: 189.2, Last Reward: -1, Total Steps: 200
2024-05-28 21:24:25,471 - INFO - Loss: 192.4, Last Reward: 1, Total Steps: 200
2024-05-28 21:25:05,471 - INFO - Loss: 219.5, Last Reward: -1, Total Steps: 200
2024-05-28 21:25:45,471 - INFO - Loss: 256.4, Last Reward: 1, Total Steps: 200
2024-05-28 21:26:25,471 - INFO - Loss: 371.5, Last Reward: -1, Total Steps: 200
2024-05-28 21:27:05,471 - INFO - Loss: 333.3, Last Reward: 1, Total Steps: 200
2024-05-28 21:27:45,471 - INFO - Loss: 291.1, Last Reward: -1, Total Steps: 200
2024-05-28 21:28:25,471 - INFO - Loss: 280.4, Last Reward: 1, Total Steps: 200
2024-05-28 21:29:05,471 - INFO - Loss: 219.0, Last Reward: -1, Total Steps: 200
2024-05-28 21:29:45,471 - INFO - Loss: 394.6, Last Reward: 1, Total Steps: 200
2024-05-28 21:30:25,471 - INFO - Loss: 285.9, Last Reward: -1, Total Steps: 200
2024-05-28 21:31:05,471 - INFO - Loss: 273.7, Last Reward: 1, Total Steps: 200
2024-05-28 21:31:45,471 - INFO - Loss: 236.9, Last Reward: -1, Total Steps: 200
2024-05-28 21:32:25,471 - INFO - Loss: 195.1, Last Reward: 1, Total Steps: 200
2024-05-28 21:33:05,471 - INFO - Loss: 257.2, Last Reward: -1, Total Steps: 200
2024-05-28 21:33:56,088 - INFO - End of episode.
2024-05-28 21:33:56,098 - INFO - Loss: 185.4, Last Reward: 0, Total Steps: 173
2024-05-28 19:33:56,099 - INFO - Model training complete and saved.
